Frequency (Hz),Power (dBm)
848800000,-88.7930450439453
855790000,-123.323989868164
862780000,-79.38525390625
869770000,-119.788116455078
876760000,-82.4690933227539
883750000,-120.216705322266
890740000,-88.2535934448242
897730000,-118.683288574219
904720000,-87.8803253173828
911710000,-125.210075378418
918700000,-82.0722427368164
925690000,-120.280181884766
932680000,-56.5379219055176
939670000,-114.553405761719
946660000,-63.9706230163574
953650000,-115.972862243652
960640000,-82.2400588989258
967630000,-118.202598571777
974620000,-89.1233901977539
981610000,-117.838081359863
988600000,-88.7976226806641
995590000,-124.940238952637
1002580000,-88.7921829223633
1009570000,-122.79695892334
1016560000,-89.2656784057617
1023550000,-123.517723083496
1030540000,-87.6596221923828
1037530000,-123.165733337402
1044520000,-89.1202087402344
1051510000,-122.356391906738
1058500000,-88.9463424682617
1065490000,-118.912315368652
1072480000,-88.7962875366211
1079470000,-119.61791229248
1086460000,-88.6752243041992
1093450000,-133.667709350586
1100440000,-88.8793792724609
1107430000,-121.075210571289
1114420000,-88.8904724121094
1121410000,-120.183403015137
1128400000,-89.2403411865234
1135390000,-120.786865234375
1142380000,-89.2333831787109
1149370000,-118.40909576416
1156360000,-88.5204620361328
1163350000,-121.332595825195
1170340000,-88.8049392700195
1177330000,-120.471145629883
1184320000,-89.2721481323242
1191310000,-119.899208068848
1198300000,-88.2623062133789
1205290000,-116.648628234863
1212280000,-88.9047927856445
1219270000,-119.806266784668
1226260000,-89.0457458496094
1233250000,-120.556610107422
1240240000,-88.5543670654297
1247230000,-121.190704345703
1254220000,-87.6443023681641
1261210000,-116.71898651123
1268200000,-87.814453125
1275190000,-125.851211547852
1282180000,-88.2090148925781
1289170000,-120.710319519043
1296160000,-86.4573059082031
1303150000,-122.28475189209
1310140000,-88.3375091552734
1317130000,-118.62727355957
1324120000,-87.6719970703125
1331110000,-121.311737060547
1338100000,-88.8896484375
1345090000,-117.813461303711
1352080000,-87.7629013061523
1359070000,-120.54296875
1366060000,-87.8289031982422
1373050000,-121.313598632813
1380040000,-87.2401885986328
1387030000,-119.574096679688
1394020000,-88.568977355957
1401010000,-119.719779968262
1408000000,-88.384407043457
1414990000,-120.765678405762
1421980000,-86.8507690429688
1428970000,-126.915115356445
1435960000,-88.1033401489258
1442950000,-117.122169494629
1449940000,-88.6890563964844
1456930000,-118.93531036377
1463920000,-88.2602081298828
1470910000,-126.993370056152
1477900000,-88.0005111694336
1484890000,-123.703903198242
1491880000,-88.7706756591797
1498870000,-121.974075317383
1505860000,-87.5852813720703
1512850000,-119.463874816895
1519840000,-88
1526830000,-122.712211608887
1533820000,-87.9532165527344
1540810000,-130.412872314453
1547800000,-87.8400802612305
1554790000,-121.618576049805
1561780000,-86.9523315429688
1568770000,-120.09952545166
1575760000,-87.6230545043945
1582750000,-120.81388092041
1589740000,-87.6888732910156
1596730000,-120.347267150879
1603720000,-87.507438659668
1610710000,-123.774703979492
1617700000,-88.1628341674805
1624690000,-120.824546813965
1631680000,-86.6392669677734
1638670000,-118.477821350098
1645660000,-87.0627746582031
1652650000,-118.788665771484
1659640000,-87.8340682983398
1666630000,-117.850921630859
1673620000,-87.3582153320313
1680610000,-121.133201599121
1687600000,-87.3117752075195
1694590000,-121.140045166016
1701580000,-87.0124969482422
1708570000,-121.896614074707
1715560000,-85.755126953125
1722550000,-116.025688171387
1729540000,-84.3742218017578
1736530000,-123.971351623535
1743520000,-87.2100067138672
1750510000,-123.415481567383
1757500000,-86.5135498046875
1764490000,-119.567474365234
1771480000,-86.8530807495117
1778470000,-129.074768066406
1785460000,-87.451057434082
1792450000,-119.933120727539
1799440000,-64.8889236450195
1806430000,-119.08863067627
1813420000,-55.7282218933105
1820410000,-104.212562561035
1827400000,-61.5245132446289
1834390000,-101.922859191895
1841380000,-52.8004035949707
1848370000,-115.901420593262
1855360000,-62.7289772033691
1862350000,-116.050643920898
1869340000,-56.0096740722656
1876330000,-111.549186706543
1883320000,-58.4631690979004
1890310000,-120.375862121582
1897300000,-86.8595657348633
1904290000,-118.691764831543
1911280000,-86.7286529541016
1918270000,-116.52466583252
1925260000,-86.8383712768555
1932250000,-119.2265625
1939240000,-86.9178085327148
1946230000,-121.92756652832
1953220000,-86.1675033569336
1960210000,-123.023590087891
1967200000,-86.4766311645508
1974190000,-122.029609680176
1981180000,-86.1641998291016
1988170000,-123.149612426758
1995160000,-86.5768127441406
2002150000,-119.488090515137
2009140000,-86.5290374755859
2016130000,-118.694305419922
2023120000,-87.4713973999023
2030110000,-117.093505859375
2037100000,-87.1745300292969
2044090000,-118.48274230957
2051080000,-87.0915832519531
2058070000,-115.139503479004
2065060000,-86.5836563110352
2072050000,-119.665084838867
2079040000,-85.6547698974609
2086030000,-117.356285095215
2093020000,-85.6669921875
2100010000,-124.979042053223
2107000000,-75.9375762939453
2113990000,-115.054405212402
2120980000,-75.8167037963867
2127970000,-120.13158416748
2134960000,-66.9877395629883
2141950000,-102.914154052734
2148940000,-65.0627212524414
2155930000,-113.890716552734
2162920000,-60.3006286621094
2169910000,-118.108795166016
2176900000,-85.3016662597656
2183890000,-118.676795959473
2190880000,-86.0682678222656
2197870000,-116.138526916504
2204860000,-86.1407928466797
2211850000,-119.062652587891
2218840000,-85.8084716796875
2225830000,-119.387939453125
2232820000,-86.0771102905273
2239810000,-119.622894287109
2246800000,-87.0992736816406
2253790000,-120.830047607422
2260780000,-85.0566558837891
2267770000,-121.073570251465
2274760000,-85.8071060180664
2281750000,-117.1044921875
2288740000,-84.7298278808594
2295730000,-112.743690490723
2302720000,-85.5551986694336
2309710000,-119.272819519043
2316700000,-84.1882019042969
2323690000,-118.454833984375
2330680000,-83.6861801147461
2337670000,-114.349281311035
2344660000,-85.1132659912109
2351650000,-119.05037689209
2358640000,-81.4572372436523
2365630000,-114.114807128906
2372620000,-81.0518798828125
2379610000,-123.039451599121
2386600000,-83.2625122070313
2393590000,-117.826972961426
2400580000,-56.0869522094727
2407570000,-114.073684692383
2414560000,-42.3755187988281
2421550000,-118.397148132324
2428540000,-72.0078125
2435530000,-120.673606872559
2442520000,-83.9410018920898
2449510000,-119.799308776855
2456500000,-79.7544937133789
2463490000,-121.741676330566
2470480000,-84.3174438476563
2477470000,-116.60066986084
2484460000,-85.0853576660156
2491450000,-119.249229431152
2498440000,-83.191650390625
2505430000,-117.951446533203
2512420000,-84.4113159179688
2519410000,-113.838806152344
2526400000,-84.9952545166016
2533390000,-117.005577087402
2540380000,-83.7482223510742
2547370000,-116.302841186523
2554360000,-84.3077545166016
2561350000,-118.432014465332
2568340000,-84.8835296630859
2575330000,-122.300140380859
2582320000,-84.6409759521484
2589310000,-118.22779083252
2596300000,-85.3717803955078
2603290000,-116.438972473145
2610280000,-83.710693359375
2617270000,-119.718872070313
2624260000,-84.6504135131836
2631250000,-115.872360229492
2638240000,-85.1937866210938
2645230000,-117.978454589844
2652220000,-84.2422409057617
2659210000,-113.560470581055
2666200000,-83.601318359375
2673190000,-115.470153808594
2680180000,-83.8604583740234
2687170000,-117.607894897461
2694160000,-85.1385192871094
2701150000,-118.918212890625
2708140000,-83.7858047485352
2715130000,-117.180892944336
2722120000,-84.3854522705078
2729110000,-120.717185974121
2736100000,-85.07861328125
2743090000,-116.984031677246
2750080000,-84.7693328857422
2757070000,-117.779838562012
2764060000,-83.9853515625
2771050000,-115.091567993164
2778040000,-85.137321472168
2785030000,-120.381988525391
2792020000,-84.4000091552734
2799010000,-120.673133850098
2806000000,-84.330078125
2812990000,-113.400466918945
2819980000,-84.2910079956055
2826970000,-116.564559936523
2833960000,-84.5111541748047
2840950000,-115.880966186523
2847940000,-85.6129455566406
2854930000,-116.729461669922
2861920000,-84.9661483764648
2868910000,-120.730270385742
2875900000,-84.8689804077148
2882890000,-121.036468505859
2889880000,-85.0739135742188
2896870000,-119.059089660645
2903860000,-84.9037017822266
2910850000,-116.137840270996
2917840000,-84.2708892822266
2924830000,-115.557540893555
2931820000,-84.9286575317383
2938810000,-124.004859924316
2945800000,-84.5736694335938
2952790000,-116.780265808105
2959780000,-84.8727798461914
2966770000,-117.433265686035
2973760000,-85.0981063842773
2980750000,-117.864768981934
2987740000,-84.9808120727539
2994730000,-115.892684936523
3001720000,-84.5767517089844
3008710000,-114.940376281738
3015700000,-84.2638473510742
3022690000,-118.967361450195
3029680000,-84.4740753173828
3036670000,-117.502586364746
3043660000,-84.2176055908203
3050650000,-115.221450805664
3057640000,-84.4317932128906
3064630000,-114.677238464355
3071620000,-84.4094161987305
3078610000,-114.305694580078
3085600000,-85.0809173583984
3092590000,-118.535270690918
3099580000,-83.4832382202148
3106570000,-121.289558410645
3113560000,-84.6019134521484
3120550000,-120.885498046875
3127540000,-85.0002212524414
3134530000,-115.682563781738
3141520000,-84.7032852172852
3148510000,-112.922920227051
3155500000,-84.0696868896484
3162490000,-114.108467102051
3169480000,-84.3294982910156
3176470000,-118.626876831055
3183460000,-84.944938659668
3190450000,-121.322494506836
3197440000,-83.1128082275391
3204430000,-115.801689147949
3211420000,-83.1906127929688
3218410000,-125.812705993652
3225400000,-84.9141387939453
3232390000,-116.494041442871
3239380000,-85.0766754150391
3246370000,-121.58341217041
3253360000,-84.3965377807617
3260350000,-117.339065551758
3267340000,-83.339469909668
3274330000,-118.709030151367
3281320000,-83.7660217285156
3288310000,-114.779693603516
3295300000,-84.2391204833984
3302290000,-115.265625
3309280000,-83.859977722168
3316270000,-117.265190124512
3323260000,-83.5295028686523
3330250000,-114.287475585938
3337240000,-84.8222045898438
3344230000,-114.809188842773
3351220000,-85.1154251098633
3358210000,-115.532615661621
3365200000,-84.0750503540039
3372190000,-115.714141845703
3379180000,-84.2259750366211
3386170000,-115.752563476563
3393160000,-85.2638931274414
3400150000,-114.515556335449
3407140000,-84.6055221557617
3414130000,-113.935852050781
3421120000,-84.9402923583984
3428110000,-114.107025146484
3435100000,-84.7567977905273
3442090000,-114.83927154541
3449080000,-84.2983245849609
3456070000,-120.262985229492
3463060000,-83.5430603027344
3470050000,-122.853286743164
3477040000,-85.3160018920898
3484030000,-118.820220947266
3491020000,-85.1112518310547
3498010000,-117.548568725586
3505000000,-84.7864532470703
3511990000,-119.167388916016
3518980000,-84.3915939331055
3525970000,-117.312110900879
3532960000,-84.7441101074219
3539950000,-115.779022216797
3546940000,-84.8736572265625
3553930000,-115.050743103027
3560920000,-85.7141647338867
3567910000,-116.216079711914
3574900000,-83.8313446044922
3581890000,-118.838577270508
3588880000,-84.3657684326172
3595870000,-114.621513366699
3602860000,-84.2472991943359
3609850000,-121.709564208984
3616840000,-86.6096115112305
3623830000,-116.339790344238
3630820000,-86.4751968383789
3637810000,-121.490997314453
3644800000,-85.8442611694336
3651790000,-118.786918640137
3658780000,-85.3984985351563
3665770000,-118.854270935059
3672760000,-86.0244979858398
3679750000,-121.210815429688
3686740000,-86.8330383300781
3693730000,-122.018524169922
3700720000,-87.2110748291016
3707710000,-125.489234924316
3714700000,-86.5837249755859
3721690000,-119.383003234863
3728680000,-87.7055358886719
3735670000,-118.80200958252
3742660000,-86.8454895019531
3749650000,-116.571250915527
3756640000,-87.2318649291992
3763630000,-116.136428833008
3770620000,-87.2159957885742
3777610000,-120.634559631348
3784600000,-87.3061599731445
3791590000,-117.09001159668
3798580000,-86.9038162231445
3805570000,-119.092849731445
3812560000,-87.442497253418
3819550000,-123.500526428223
3826540000,-87.2873306274414
3833530000,-118.477546691895
3840520000,-87.4886169433594
3847510000,-118.815002441406
3854500000,-88.0293426513672
3861490000,-121.896476745605
3868480000,-86.8899536132813
3875470000,-120.987236022949
3882460000,-87.6221923828125
3889450000,-117.252288818359
3896440000,-87.4522247314453
3903430000,-118.87036895752
3910420000,-87.5641098022461
3917410000,-118.588485717773
3924400000,-86.7220153808594
3931390000,-124.091400146484
3938380000,-88.4286193847656
3945370000,-121.16178894043
3952360000,-88.235595703125
3959350000,-121.032150268555
3966340000,-87.193962097168
3973330000,-116.544136047363
3980320000,-89.0024948120117
3987310000,-122.007247924805
3994300000,-88.73095703125
4001290000,-124.004928588867
4008280000,-89.1829833984375
4015270000,-122.516593933105
4022260000,-88.4257431030273
4029250000,-123.74520111084
4036240000,-88.8716430664063
4043230000,-117.679725646973
4050220000,-88.6054229736328
4057210000,-122.96785736084
4064200000,-88.6260452270508
4071190000,-122.771812438965
4078180000,-89.1004867553711
4085170000,-122.582405090332
4092160000,-89.5903091430664
4099150000,-121.514022827148
4106140000,-88.2558746337891
4113130000,-117.916069030762
4120120000,-89.5121078491211
4127110000,-121.796119689941
4134100000,-88.1760406494141
4141090000,-119.304916381836
4148080000,-88.3324356079102
4155070000,-119.460090637207
4162060000,-88.6776657104492
4169050000,-123.724166870117
4176040000,-88.8571548461914
4183030000,-118.704429626465
4190020000,-87.5464706420898
4197010000,-119.810440063477
4204000000,-89.6134033203125
4210990000,-118.311737060547
4217980000,-89.4872894287109
4224970000,-121.338447570801
4231960000,-89.5695495605469
4238950000,-128.505737304688
4245940000,-88.0650787353516
4252930000,-119.315223693848
4259920000,-89.5986022949219
4266910000,-119.820907592773
4273900000,-88.4775390625
4280890000,-121.797012329102
4287880000,-89.7331466674805
4294870000,-121.104675292969
4301860000,-89.1265182495117
4308850000,-119.036315917969
4315840000,-89.5026702880859
4322830000,-119.327087402344
4329820000,-88.5079345703125
4336810000,-121.89478302002
4343800000,-88.8525085449219
4350790000,-119.317970275879
4357780000,-89.5784606933594
4364770000,-125.390632629395
4371760000,-90.2111206054688
4378750000,-127.363945007324
4385740000,-89.1529693603516
4392730000,-118.259437561035
4399720000,-89.0294570922852
4406710000,-119.533164978027
4413700000,-89.884407043457
4420690000,-123.433166503906
4427680000,-88.6853408813477
4434670000,-121.958435058594
4441660000,-89.9807281494141
4448650000,-127.011222839355
4455640000,-89.2990493774414
4462630000,-117.738136291504
4469620000,-88.7703018188477
4476610000,-119.08309173584
4483600000,-89.8749008178711
4490590000,-120.405082702637
4497580000,-90.130989074707
4504570000,-123.191452026367
4511560000,-89.06640625
4518550000,-124.018135070801
4525540000,-89.4753723144531
4532530000,-121.793983459473
4539520000,-88.3054351806641
4546510000,-125.62281036377
4553500000,-89.6210327148438
4560490000,-121.243659973145
4567480000,-89.1824798583984
4574470000,-120.827964782715
4581460000,-88.5420074462891
4588450000,-123.273147583008
4595440000,-89.2986831665039
4602430000,-121.721862792969
4609420000,-89.4063110351563
4616410000,-120.298080444336
