Frequency(Hz),Power(dBm),Power_real(dBm)
1093450000,-133.6677094,-133.2467532
1100440000,-88.87937927,-88.45703093
1107430000,-121.0752106,-120.6514742
1114420000,-88.89047241,-88.4653521
1121410000,-120.183403,-119.7569028
1128400000,-89.24034119,-88.81246502
1135390000,-120.7868652,-120.3576171
1142380000,-89.23338318,-88.80276698
1149370000,-118.4090958,-117.9771154
1156360000,-88.52046204,-88.08712132
1163350000,-121.3325958,-120.8978986
1170340000,-88.80493927,-88.36888929
1177330000,-120.4711456,-120.0337466
1184320000,-89.27214813,-88.83340386
1191310000,-119.8992081,-119.4591222
1198300000,-88.26230621,-87.82088236
1205290000,-116.6486282,-116.20587
1212280000,-88.90479279,-88.46070381
1219270000,-119.8062668,-119.3608506
1226260000,-89.04574585,-88.59900595
1233250000,-120.5566101,-120.10855
1240240000,-88.55436707,-88.1049902
1247230000,-121.1907043,-120.7400141
1254220000,-87.64430237,-87.19230227
1261210000,-116.7189865,-116.2656799
1268200000,-87.81445313,-87.35984329
1275190000,-125.8512115,-125.3953018
1282180000,-88.20901489,-87.75180858
1289170000,-120.7103195,-120.2518199
1296160000,-86.45730591,-85.99751619
1303150000,-122.2847519,-121.8236753
1310140000,-88.33750916,-87.87514888
1317130000,-118.6272736,-118.1636328
1324120000,-87.67199707,-87.20707888
1331110000,-121.3117371,-120.8455446
1338100000,-88.88964844,-88.42218477
1345090000,-117.8134613,-117.3447295
1352080000,-87.76290131,-87.29290441
1359070000,-120.5429688,-120.0717098
1366060000,-87.8289032,-87.35638513
1373050000,-121.3135986,-120.8398244
1380040000,-87.2401886,-86.76516124
1387030000,-119.5740967,-119.0978191
1394020000,-88.56897736,-88.0914524
1401010000,-119.71978,-119.2410106
1408000000,-88.38440704,-87.904396
1414990000,-120.7656784,-120.2844286
1421980000,-86.85076904,-86.36828326
1428970000,-126.9151154,-126.4313965
1435960000,-88.10334015,-87.61839082
1442950000,-117.1221695,-116.6359925
1449940000,-88.6890564,-88.20165453
1456930000,-118.9353104,-118.4466863
1463920000,-88.26020813,-87.77036458
1470910000,-126.9933701,-126.5023097
1477900000,-88.00051117,-87.50823665
1484890000,-123.7039032,-123.2104172
1491880000,-88.77067566,-88.27598072
1498870000,-121.9740753,-121.4781741
1505860000,-87.58528137,-87.08817641
1512850000,-119.4638748,-118.9655687
1519840000,-88,-87.50049528
1526830000,-122.7122116,-122.2115108
1533820000,-87.95321655,-87.45132219
1540810000,-130.4128723,-129.9097869
1547800000,-87.84008026,-87.33580624
1554790000,-121.618576,-121.1131158
1561780000,-86.95233154,-86.4456877
1568770000,-120.0995255,-119.5917004
1575760000,-87.6230545,-87.11405056
1582750000,-120.8138809,-120.3037005
1589740000,-87.68887329,-87.17751883
1596730000,-120.3472672,-119.834741
1603720000,-87.50743866,-86.99374314
1610710000,-123.774704,-123.2598415
1617700000,-88.16283417,-87.64680693
1624690000,-120.8245468,-120.3073572
1631680000,-86.63926697,-86.12091721
1638670000,-118.4778214,-117.9583138
1645660000,-87.06277466,-86.54211149
1652650000,-118.7886658,-118.2668493
1659640000,-87.8340683,-87.31110069
1666630000,-117.8509216,-117.3268051
1673620000,-87.35821533,-86.83295216
